Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/06  14:00:00,32297321.897539434,32297321.897539434,63992309.27959357 
 01/06  15:00:00,48184470.929370168,48184470.929370168,29802737.110771859 
 01/06  16:00:00,58157564.50611899,58157564.506119,7796840.88460985 
 01/06  17:00:00,58133114.07343458,58133114.07343458,4945433.557359251 
 01/06  18:00:00,50812385.26632587,50812385.26632587,19825514.210668107 
 01/06  19:00:00,45368419.35533965,45368419.35533963,5918276.956332269 
 01/06  20:00:00,13931418.059538957,13931418.059538952,0.0 
 01/06  21:00:00,12669894.910823152,12669894.910823152,0.0 
 01/06  22:00:00,12669894.910823152,12669894.910823152,0.0 
 01/06  23:00:00,11534524.076916654,11534524.076916654,0.0 
 01/06  24:00:00,11205881.415921549,11205881.415921549,0.0 
 01/07  01:00:00,10093157.415921549,10093157.415921549,0.0 
 01/07  02:00:00,10093157.415921549,10093157.415921549,0.0 
 01/07  03:00:00,10093157.415921549,10093157.415921549,0.0 
 01/07  04:00:00,10093157.415921549,10093157.415921549,0.0 
 01/07  05:00:00,10093157.415921549,10093157.415921549,0.0 
 01/07  06:00:00,10093157.415921549,10093157.415921549,0.0 
 01/07  07:00:00,11205881.415921549,11205881.415921549,0.0 
 01/07  08:00:00,11205881.415921549,11205881.415921549,0.0 
 01/07  09:00:00,11205881.415921549,11205881.415921549,0.0 
 01/07  10:00:00,11205881.415921549,11205881.415921549,0.0 
 01/07  11:00:00,11205881.415921549,11205881.415921549,0.0 
 01/07  12:00:00,7922681.415921549,7922681.415921549,0.0 
 01/07  13:00:00,7922681.415921549,7922681.415921549,0.0 
 01/07  14:00:00,7922681.415921549,7922681.415921549,0.0 
 01/07  15:00:00,8469881.415921549,8469881.415921549,0.0 
 01/07  16:00:00,11603638.788200295,11603638.788200295,0.0 
 01/07  17:00:00,12558050.526533008,12558050.526533008,0.0 
 01/07  18:00:00,13539079.633091938,13539079.63309194,0.0 
 01/07  19:00:00,15340083.594855108,15340083.594855106,140863.15109152304 
 01/07  20:00:00,16301995.609242924,16301995.609242924,0.0 
 01/07  21:00:00,15806983.66930012,15806983.669300123,43953.732490199516 
 01/07  22:00:00,16779943.82178156,16779943.82178156,0.0 
 01/07  23:00:00,15896473.23088881,15896473.230888812,16306.568918156529 
 01/07  24:00:00,16214879.975967125,16214879.975967125,3349565.674569608 
 01/08  01:00:00,12728068.887207395,12728068.887207395,6125876.117150517 
 01/08  02:00:00,13352299.379142199,13352299.379142199,9350967.33858147 
 01/08  03:00:00,13228399.215632434,13228399.215632434,7841872.047776729 
 01/08  04:00:00,14050152.92570313,14050152.92570313,9709628.091840528 
 01/08  05:00:00,13161038.2526573,13161038.2526573,7694548.671580884 
 01/08  06:00:00,13352299.379142199,13352299.379142199,9332423.088379141 
 01/08  07:00:00,13954934.709012095,13954934.709012095,8769527.830802205 
 01/08  08:00:00,15071711.323651419,15071711.323651419,11479591.432947284 
 01/08  09:00:00,14209379.366277546,14209379.366277546,11990156.636960205 
 01/08  10:00:00,15067592.747769602,15067592.747769602,13669489.638554922 
 01/08  11:00:00,14175001.545677375,14175001.545677375,12131963.001500955 
 01/08  12:00:00,11173922.047104907,11173922.047104907,16657050.702811923 
 01/08  13:00:00,11016238.406605315,11016238.406605317,13708965.380329607 
 01/08  14:00:00,11764799.655779109,11764799.655779109,14040607.364518114 
 01/08  15:00:00,11427813.399276993,11427813.399276995,12212478.32425213 
 01/08  16:00:00,14647624.685056474,14647624.685056474,15021083.10998246 
 01/08  17:00:00,14163813.399276993,14163813.399276993,11534515.008867652 
 01/08  18:00:00,15067592.747769602,15067592.747769602,15061286.114441926 
 01/08  19:00:00,13743845.336563863,13743845.336563863,13780066.377842645 
 01/08  20:00:00,15067592.747769602,15067592.747769602,14347977.577802267 
 01/08  21:00:00,13817967.708864909,13817967.708864909,14487465.344565416 
 01/08  22:00:00,14602461.684160755,14602461.68416075,16843719.919121706 
 01/08  23:00:00,14163813.399276993,14163813.399276993,12793035.109176042 
 01/08  24:00:00,15121234.90595204,15121234.90595204,17329171.36544512 
 01/09  01:00:00,16179180.494197287,16179180.494197287,14001866.076719489 
 01/09  02:00:00,16909539.69219071,16909539.69219071,15177740.867942164 
 01/09  03:00:00,16116355.628349457,16116355.628349457,12046152.595193565 
 01/09  04:00:00,16600166.914128935,16600166.914128935,16177509.334787965 
