Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 07/11  08:00:00,36449024.692571047,36449024.692571047,0.0 
 07/11  09:00:00,36458791.13232384,36458791.13232384,0.0 
 07/11  10:00:00,36298539.76693183,36298539.766931828,0.0 
 07/11  11:00:00,37258930.3553231,37258930.3553231,0.0 
 07/11  12:00:00,34917564.112158518,34917564.112158518,0.0 
 07/11  13:00:00,37927168.113896887,37927168.11389689,0.0 
 07/11  14:00:00,38039402.97910933,38039402.97910934,0.0 
 07/11  15:00:00,38770605.27618765,38770605.27618765,0.0 
 07/11  16:00:00,40024758.90023519,40024758.90023519,0.0 
 07/11  17:00:00,28241967.654430927,28241967.654430923,0.0 
 07/11  18:00:00,14862887.511312206,14862887.511312208,0.0 
 07/11  19:00:00,9304040.935344538,9304040.935344536,0.0 
 07/11  20:00:00,8434931.812714028,8434931.812714026,0.0 
 07/11  21:00:00,11769894.910823154,11769894.910823152,0.0 
 07/11  22:00:00,10634524.076916654,10634524.076916654,0.0 
 07/11  23:00:00,10305881.415921547,10305881.415921547,0.0 
 07/11  24:00:00,12258423.644994013,12258423.644994013,0.0 
 07/12  01:00:00,12258423.644994013,12258423.644994013,0.0 
 07/12  02:00:00,12258423.644994013,12258423.644994013,0.0 
 07/12  03:00:00,12258423.644994013,12258423.644994013,0.0 
 07/12  04:00:00,12258423.644994013,12258423.644994013,0.0 
 07/12  05:00:00,11804415.588477323,11804415.588477321,0.0 
 07/12  06:00:00,21689612.162724269,21689612.162724269,0.0 
 07/12  07:00:00,20685524.171022387,20685524.171022387,0.0 
 07/12  08:00:00,35528456.47735559,35528456.47735559,0.0 
 07/12  09:00:00,35709104.22810916,35709104.22810916,0.0 
 07/12  10:00:00,35011334.53279911,35011334.53279911,0.0 
 07/12  11:00:00,35127577.19123519,35127577.19123519,0.0 
 07/12  12:00:00,31615036.328241946,31615036.328241946,0.0 
 07/12  13:00:00,35329239.49403877,35329239.49403877,0.0 
 07/12  14:00:00,35865963.68242721,35865963.68242721,0.0 
 07/12  15:00:00,36769798.80558073,36769798.805580738,0.0 
 07/12  16:00:00,37237545.89428312,37237545.894283119,0.0 
 07/12  17:00:00,25387570.675321789,25387570.675321789,0.0 
 07/12  18:00:00,14861880.68097759,14861880.68097759,0.0 
 07/12  19:00:00,9684036.379958166,9684036.379958166,0.0 
 07/12  20:00:00,8760294.910823154,8760294.910823152,0.0 
 07/12  21:00:00,11769894.910823154,11769894.910823152,0.0 
 07/12  22:00:00,10634524.076916654,10634524.076916654,0.0 
 07/12  23:00:00,10305881.415921547,10305881.415921547,0.0 
 07/12  24:00:00,12258423.644994013,12258423.644994013,0.0 
 07/13  01:00:00,12258423.644994013,12258423.644994013,0.0 
 07/13  02:00:00,12258423.644994013,12258423.644994013,0.0 
 07/13  03:00:00,12258423.644994013,12258423.644994013,0.0 
 07/13  04:00:00,12258423.644994013,12258423.644994013,0.0 
 07/13  05:00:00,11985288.588477325,11985288.588477321,0.0 
 07/13  06:00:00,20931900.077744724,20931900.077744727,0.0 
 07/13  07:00:00,20106619.602368829,20106619.602368829,0.0 
 07/13  08:00:00,34016396.32979071,34016396.32979071,0.0 
 07/13  09:00:00,34719866.7664568,34719866.7664568,0.0 
 07/13  10:00:00,35249492.4282557,35249492.42825569,0.0 
 07/13  11:00:00,36205256.187749739,36205256.187749739,0.0 
 07/13  12:00:00,34329566.25796823,34329566.25796824,0.0 
 07/13  13:00:00,37780384.355201277,37780384.355201277,0.0 
 07/13  14:00:00,37666462.98898229,37666462.98898229,0.0 
 07/13  15:00:00,38283353.6461338,38283353.646133799,0.0 
 07/13  16:00:00,38553407.74479545,38553407.74479545,0.0 
 07/13  17:00:00,26851917.369683487,26851917.36968348,0.0 
 07/13  18:00:00,14710320.646661178,14710320.64666118,0.0 
 07/13  19:00:00,9318244.10631312,9318244.106313117,0.0 
